Marka,Model,Yil,Km,Vites,Yakit,Fiyat,Tuketim
Audi,Q7 3.0 TDI Quattro,2016,138000,Otomatik Vites,Dizel,820000,8.0
Audi,A3 1.6 Attraction Sportback,2012,135000,Manuel Vites,Benzin,83900,6.0
Audi,A6 2.0 TDI,2011,141000,Otomatik Vites,Dizel,232000,7.0
Audi,A6 2.0 TDI,2014,174000,Otomatik Vites,Dizel,308750,7.0
Audi,A4 2.0 TDI,2013,315000,Otomatik Vites,Dizel,175000,7.0
Audi,A3 1.8 Ambiente,2000,230000,Otomatik Vites,Benzin,44000,7.0
Audi,A6 A6 Sedan 2.0 TDI,2016,83000,Otomatik Vites,Dizel,425000,7.0
Audi,A4 A4 Sedan 2.0 TDI,2014,88000,Otomatik Vites,Dizel,193900,7.0
Audi,A3 1.6 TDI Sedan,2016,8000,Otomatik Vites,Dizel,255000,6.0
Audi,A5 2.7 TDI,2009,126000,Otomatik Vites,Dizel,162500,8.0
Audi,Q2 1.6 TDI Design,2020,0,Otomatik Vites,Dizel,320000,6.0
Audi,A3 A3 Sedan 1.6 TDI Design Line,2018,35000,Otomatik Vites,Dizel,236000,6.0
Audi,A4 A4 Sedan 2.0 TDI Quattro,2015,141000,Otomatik Vites,Dizel,222000,7.0
Audi,A4 A4 Sedan 2.0 TDI Quattro,2015,141000,Otomatik Vites,Dizel,222000,7.0
Audi,A4 2.0 TDI,2014,113000,Otomatik Vites,Dizel,225000,7.0
Audi,A6 A6 Sedan 2.0 TDI,2017,80000,Otomatik Vites,Dizel,450000,5.5
Audi,A4 2.0 TDI,2014,210000,Otomatik Vites,Dizel,200000,7.0
Audi,A4 1.6,1996,100,Otomatik Vites,Benzin,33500,6.0
Audi,A6 A6 Sedan 2.0 TDI,2011,226000,Otomatik Vites,Dizel,185000,7.0
Volkswagen,Polo 1.4 TDI Comfortline,2017,142000,Otomatik Vites,Dizel,123500,6.0
Audi,A6 2.0 TDI,2007,198000,Manuel Vites,Dizel,120000,7.0
Audi,A4 2.0 TDI,2012,168000,Otomatik Vites,Dizel,165000,7.0
Audi,A6 2.0 Quattro,2016,70000,Otomatik Vites,Dizel,475000,7.0
Audi,A3 1.6 TDI Sportback,2019,19000,Otomatik Vites,Dizel,249950,6.0
Audi,A3 A3 Cabrio 1.5 TFSI Sport Line,2018,21000,Otomatik Vites,Benzin,335000,6.0
Audi,A3 Diğer,2017,25000,Otomatik Vites,Benzin,225000,6.0
Audi,A4 1.4 TFSI,2016,37700,Otomatik Vites,Benzin,297900,6.0
Audi,A6 2.0 TDI,2013,164000,Otomatik Vites,Dizel,269900,7.0
Audi,A3 A3 Sportback 1.6 TDI Attraction,2014,79000,Otomatik Vites,Dizel,162000,6.0
Audi,Q5 2.0 TDI Quattro,2011,117000,Otomatik Vites,Dizel,255000,7.0
Audi,A3 A3 Sedan 1.6 TDI Dynamic,2017,52500,Otomatik Vites,Dizel,208500,6.0
Audi,A5 A5 Sportback 1.4 TFSI Sport,2017,29000,Otomatik Vites,Benzin,445000,6.0
Audi,A5 A5 Sportback 1.4 TFSI Sport,2017,51750,Otomatik Vites,Benzin,399999,6.0
Audi,A5 2.0 TDI Quattro,2012,200000,Otomatik Vites,Dizel,222000,7.0
Audi,A6 1.9 TDI,2004,311000,Otomatik Vites,Dizel,65000,7.0
Audi,A4 1.6,2001,300000,Manuel Vites,Benzin,42500,6.0
Audi,A4 2.0 TDI,2016,121280,Otomatik Vites,Dizel,267500,7.0
Audi,Q2 1.0 TFSI Design,2019,4500,Otomatik Vites,Benzin,265000,5.5
Audi,A4 2.0 TDI,2012,202000,Otomatik Vites,Dizel,182500,7.0
Land Rover,Discovery Sport 2.0 TD4 HSE,2016,200550,Otomatik Vites,Dizel,444500,7.0
Audi,A4 A4 Sedan 2.0 TDI,2008,290000,Otomatik Vites,Dizel,86000,7.0
Audi,Q7 2.0 TFSI Quattro,2016,32000,Otomatik Vites,Benzin,722000,7.0
Audi,A5 A5 Coupe 1.8 TFSI,2011,164000,Otomatik Vites,Benzin,136000,7.0
Audi,Q8 Diğer,2020,0,Otomatik Vites,Dizel,2215000,8.0
Audi,A3 A3 Sportback 1.0 TFSI Dynamic,2017,39500,Otomatik Vites,Benzin,186000,5.5
Audi,A3 A3 Sedan 1.6 TDI Dynamic,2016,103169,Otomatik Vites,Dizel,164900,6.0
Audi,A3 A3 Sedan 1.5 TFSI Design Line,2019,16,Otomatik Vites,Benzin,272500,6.0
Audi,Q7 3.0 TDI Quattro,2008,237000,Otomatik Vites,Dizel,209500,8.0
Audi,A6 A6 Sedan 2.0 TFSI,2007,255000,Otomatik Vites,Benzin,118000,7.0
Audi,A3 1.6 TDI Ambition Sportback,2015,93000,Otomatik Vites,Dizel,193000,6.0
Audi,A3 1.6 FSI Sportback,2006,220000,Manuel Vites,Benzin,68500,6.0
Audi,A3 1.4 TFSI Attraction,2010,68000,Otomatik Vites,Benzin,127000,6.0
Audi,100 Serisi 2.0,1993,330000,Otomatik Vites,Benzin,36500,6.0
Audi,A4 1.4 TFSI,2016,168000,Otomatik Vites,Benzin,242000,6.0
Audi,A4 A4 Sedan 2.0 TDI Dynamic,2017,55000,Otomatik Vites,Dizel,325000,7.0
Audi,A3 1.6 TDI Sedan,2017,52000,Otomatik Vites,Dizel,210000,7.0
Audi,A4 A4 Sedan 2.0 TDI Sport,2016,93000,Otomatik Vites,Dizel,329900,7.0
Audi,A3 A3 Sportback 1.6 TDI Design Line,2018,30000,Otomatik Vites,Dizel,185000,6.0
Audi,Q2 1.6 TDI Design,2020,0,Otomatik Vites,Dizel,319000,6.0
Audi,Q7 3.0 TDI Quattro,2006,274654,Otomatik Vites,Dizel,162750,8.0
Audi,Q3 Diğer,2018,17500,Otomatik Vites,Benzin,315000,6.0
Audi,Q7 3.0 TDI Quattro,2012,255000,Otomatik Vites,Dizel,327500,8.0
Audi,A6 A6 Sedan 2.0 TDI,2012,138000,Otomatik Vites,Dizel,238900,7.0
Audi,A6 A6 Sedan 2.0 TDI,2014,210000,Otomatik Vites,Dizel,217000,7.0
Audi,A4 A4 Sedan 2.0 TDI,2015,160000,Otomatik Vites,Dizel,219900,7.0
Audi,A3 A3 Sedan 1.6 TDI Attraction,2016,120000,Otomatik Vites,Dizel,175000,6.0
Audi,A6 A6 Sedan 2.0 TDI Quattro Sport,2020,0,Otomatik Vites,Dizel,895000,7.0
Audi,Q7 3.0 TDI Quattro,2012,198000,Otomatik Vites,Dizel,327000,8.0
Audi,A3 A3 Sedan 1.6 TDI Sport Line,2017,65000,Otomatik Vites,Dizel,239500,6.0
Audi,A3 1.6 TDI Attraction Sportback,2012,195000,Otomatik Vites,Dizel,118500,6.0
Audi,A4 A4 Sedan 2.0 TDI Quattro,2015,95000,Otomatik Vites,Dizel,310000,7.0
Audi,A4 2.0 Multitronic,2011,170000,Otomatik Vites,Dizel,152000,7.0
Audi,A3 1.0 TFSI Sportback,2016,37000,Otomatik Vites,Benzin,156000,5.5
Audi,A4 1.8 T,1998,384000,Otomatik Vites,Benzin,48500,7.0
Audi,A3 1.6 TDI Ambiente,2015,46000,Otomatik Vites,Dizel,192750,6.0
Audi,A5 A5 Sportback 2.0 TDI,2015,71000,Otomatik Vites,Dizel,289900,7.0
Audi,A4 A4 Sedan 2.0 TFSI Quattro,2011,122000,Otomatik Vites,Benzin,205000,5.5
Audi,A3 A3 Sedan 1.6 TDI Attraction,2014,95705,Otomatik Vites,Dizel,172500,6.0
Audi,TT 2.0 TFSI,2008,129558,Otomatik Vites,Benzin,169500,7.0
BMW,5 Serisi 520d xDrive Pure,2018,59854,Otomatik Vites,Dizel,594500,7.0
Audi,Q7 3.0 TDI Quattro,2010,185385,Otomatik Vites,Dizel,233500,8.0
Audi,A4 A4 Sedan 2.0 TDI Design,2016,112000,Otomatik Vites,Dizel,285000,7.0
Audi,A6 A6 Sedan 3.0 TDI Quattro,2006,178000,Otomatik Vites,Dizel,133999,8.0
Audi,Q5 2.0 TDI Quattro,2011,132500,Otomatik Vites,Dizel,237000,7.0
Audi,Q3 2.0 TDI Quattro,2012,159900,Otomatik Vites,Dizel,206500,7.0
Audi,A5 Diğer,2010,137000,Otomatik Vites,Benzin,150000,5.5
Audi,A4 2.5 TDI Avant,2003,264000,Otomatik Vites,Dizel,76500,8.0
Audi,Q7 2.0 TFSI Quattro,2016,58562,Otomatik Vites,Benzin,698000,7.0
Audi,A4 A4 Sedan 2.0 TDI Quattro,2013,175000,Otomatik Vites,Dizel,192000,7.0
Audi,A6 A6 Sedan 2.0 TDI Quattro Design,2020,0,Otomatik Vites,Dizel,829000,7.0
Audi,TT 2.0 TFSI Quattro,2016,50028,Otomatik Vites,Benzin,479500,7.0
Audi,A6 A6 Sedan 2.0 TDI,2014,128000,Otomatik Vites,Dizel,295000,7.0
Audi,A6 A6 Sedan 2.0 TDI,2008,295000,Otomatik Vites,Dizel,115000,7.0
Audi,A3 1.6 TDI Sportback,2016,52000,Otomatik Vites,Dizel,194500,6.0
Audi,A8 3.0 TDI Quattro Long,2012,194000,Otomatik Vites,Dizel,475000,5.5
Audi,A3 Diğer,2015,165000,Otomatik Vites,Dizel,171900,6.0
Audi,A6 2.0 TDI,2013,220000,Otomatik Vites,Dizel,265000,7.0
Audi,A3 1.6 TDI Attraction Sportback,2012,179000,Otomatik Vites,Dizel,96000,6.0
Dacia,Dokker 1.5 dCi Ambiance,2015,178535,Manuel Vites,Dizel,63750,6.0
Audi,A3 1.6 Attraction Sportback,2011,140000,Manuel Vites,Benzin,97500,6.0
Audi,A5 Diğer,2017,63697,Otomatik Vites,Dizel,420000,7.0
Audi,A4 A4 Sedan 2.0 TDI,2014,187000,Otomatik Vites,Dizel,175000,7.0
Audi,A6 A6 Sedan 2.0 TDI,2016,151000,Otomatik Vites,Dizel,358500,7.0
Audi,A3 A3 Hatchback 2.0 TDI 2.0 TDI,2009,180000,Manuel Vites,Dizel,94000,5.5
Audi,A5 A5 Sportback 2.0 TDI,2010,264000,Otomatik Vites,Dizel,155000,7.0
Audi,A6 A6 Sedan 2.0 TDI Quattro Design,2020,0,Otomatik Vites,Dizel,799000,7.0
Audi,A6 A6 Sedan 2.0 TDI Quattro Sport,2020,0,Otomatik Vites,Dizel,840000,7.0
Audi,A5 A5 Sportback 2.0 TDI,2011,299900,Otomatik Vites,Dizel,155900,7.0
Audi,A4 A4 Sedan 1.6,2008,375000,Manuel Vites,Benzin,75000,5.5
Audi,Q7 3.0 TDI Quattro,2007,270000,Otomatik Vites,Dizel,178000,8.0
Audi,A3 A3 Sportback 1.6 TDI Ambition,2009,160000,Otomatik Vites,Dizel,137500,5.5
Audi,A4 A4 allroad quattro 2.0 TDI,2015,76000,Otomatik Vites,Dizel,284500,7.0
Audi,A3 A3 Cabrio 1.5 TFSI Sport Line,2018,36000,Otomatik Vites,Benzin,309750,6.0
Audi,A4 A4 Avant 1.4 TFSI,2016,89000,Otomatik Vites,Benzin,249500,6.0
Audi,A4 A4 Sedan 1.4 TFSI Design,2016,59000,Otomatik Vites,Benzin,275000,6.0
Audi,A3 A3 Sedan 1.6 TDI Dynamic,2016,127000,Otomatik Vites,Dizel,171250,6.0
Audi,A6 A6 Sedan 2.0 TDI,2014,172000,Otomatik Vites,Dizel,280000,7.0
Audi,Q7 3.0 TDI Quattro,2013,129000,Otomatik Vites,Dizel,417000,8.0
Renault,Fluence 1.5 dCi Touch,2014,124000,Otomatik Vites,Dizel,105500,6.0
Audi,A3 Diğer,2016,27000,Otomatik Vites,Benzin,252000,6.0
Audi,A4 A4 Sedan 1.4 TFSI Dynamic,2016,104000,Otomatik Vites,Benzin,241500,6.0
Audi,Q7 3.0 TDI Quattro,2007,300000,Otomatik Vites,Dizel,138000,8.0
Audi,A3 A3 Hatchback 1.4 TFSI Ambition,2009,153000,Otomatik Vites,Benzin,98500,6.0
Audi,A3 A3 Sportback 1.6 Ambition,2010,147000,Otomatik Vites,Benzin,112500,6.0
Audi,A3 A3 Sportback 1.4 TFSI Attraction,2010,71000,Otomatik Vites,Benzin,93750,6.0
Audi,A3 A3 Sportback 1.6 TDI Sport Line,2015,87000,Otomatik Vites,Dizel,203000,6.0
Audi,A4 A4 Sedan 2.0 TDI,2013,159000,Otomatik Vites,Dizel,219000,7.0
Audi,A4 Diğer,1997,239000,Manuel Vites,Dizel,39750,7.0
Audi,A3 A3 Hatchback 1.6 1.6,2004,270000,Otomatik Vites,Benzin,64900,6.0
Audi,A6 A6 Sedan 3.0 TDI Quattro,2005,307000,Otomatik Vites,Dizel,97250,8.0
Audi,A3 A3 Sportback 1.6 TDI Attraction,2015,131000,Otomatik Vites,Dizel,160000,6.0
Audi,A4 A4 Sedan 2.0 TDI,2012,181000,Otomatik Vites,Dizel,172500,7.0
Audi,A6 A6 Sedan 2.0 TDI Quattro,2018,74000,Otomatik Vites,Dizel,498500,7.0
Audi,A3 A3 Sportback 1.6 TDI Attraction,2014,82000,Otomatik Vites,Dizel,167900,6.0
Audi,A4 A4 Sedan 2.0 TDI,2014,132000,Otomatik Vites,Dizel,178950,7.0
Audi,A3 A3 Sedan 1.6 TDI Attraction,2015,119000,Otomatik Vites,Dizel,157500,6.0
Audi,A6 A6 Sedan 3.0 TDI Quattro,2013,175000,Otomatik Vites,Dizel,305000,8.0
Audi,A5 A5 Sportback 2.0 TDI Quattro,2013,148000,Otomatik Vites,Dizel,239500,7.0
Land Rover,Discovery Sport 2.0 TD4 HSE,2016,200550,Otomatik Vites,Dizel,444500,7.0
Audi,A6 A6 Sedan 2.0 TDI,2015,142000,Otomatik Vites,Dizel,322500,7.0
Audi,Q5 2.0 TDI Quattro,2012,122000,Otomatik Vites,Dizel,242500,7.0
Audi,A3 A3 Sedan 1.6 TDI Attraction,2015,89000,Otomatik Vites,Dizel,166500,6.0
Audi,A4 A4 Sedan 2.0 TDI,2005,333000,Otomatik Vites,Dizel,76500,7.0
Audi,A6 Diğer,2005,283000,Otomatik Vites,Benzin,81000,5.5
Audi,A3 A3 Sedan 1.6 TDI Ambiente,2015,107000,Otomatik Vites,Dizel,167900,6.0
Audi,A6 A6 Sedan 2.0 TDI,2012,268500,Otomatik Vites,Dizel,205750,7.0
Audi,A6 Diğer,2007,280000,Otomatik Vites,Benzin,97000,7.0
Audi,A3 A3 Sedan 1.6 TDI Ambition,2013,128000,Otomatik Vites,Dizel,128900,6.0
Audi,A3 A3 Sportback 1.0 TFSI Dynamic,2016,70000,Otomatik Vites,Benzin,182750,5.5
Audi,A3 A3 Sportback 1.6 Ambition,2008,154000,Otomatik Vites,Benzin,84500,6.0
Audi,A4 Diğer,2010,259600,Otomatik Vites,Benzin,115500,7.0
Audi,A4 A4 Sedan 2.5 TDI Quattro,2004,260000,Otomatik Vites,Dizel,59500,8.0
Audi,A3 A3 Sedan 1.6 TDI Ambition,2016,79000,Otomatik Vites,Dizel,227500,6.0
Audi,A3 A3 Hatchback 1.6 1.6,2006,175000,Otomatik Vites,Benzin,78000,6.0
Audi,A3 A3 Sedan 1.6 TDI Ambition,2015,100000,Otomatik Vites,Dizel,197950,5.5
Audi,A4 A4 Sedan 2.0 TDI Quattro,2013,182000,Otomatik Vites,Dizel,192000,7.0
Audi,A3 A3 Sedan 1.6 TDI Dynamic,2016,112000,Otomatik Vites,Dizel,179900,6.0
BMW,5 Serisi 520d xDrive Pure,2018,59854,Otomatik Vites,Dizel,594500,7.0
Audi,A6 A6 Sedan 2.0 TDI,2012,137000,Otomatik Vites,Dizel,247500,7.0
Audi,RS RS 6,2020,250,Otomatik Vites,Benzin,2550000,5.5
Audi,A4 A4 Sedan 2.0 TDI,2014,114000,Otomatik Vites,Dizel,177000,7.0
Audi,A4 A4 Sedan 1.4 TFSI Sport,2018,37000,Otomatik Vites,Benzin,349750,6.0
Audi,A4 A4 Sedan 2.0 TDI Advanced,2019,1893,Otomatik Vites,Dizel,427500,7.0
Audi,RS RS 6,2020,0,Otomatik Vites,Benzin,2500000,5.5
Audi,A3 A3 Sportback 1.6 TDI Ambition,2015,149000,Otomatik Vites,Dizel,155500,6.0
Audi,A3 A3 Sedan 1.6 TDI Sport Line,2017,50000,Otomatik Vites,Dizel,224900,5.5
Audi,A4 A4 Sedan 2.0 TDI,2014,159000,Otomatik Vites,Dizel,174500,7.0
Audi,A6 A6 Sedan 3.0 TDI Quattro,2012,135000,Otomatik Vites,Dizel,285000,8.0
Audi,A4 A4 Sedan 2.0 TFSI Quattro,2012,200000,Otomatik Vites,Benzin,159900,7.0
Audi,A4 A4 Sedan 2.0 TDI Quattro,2013,167000,Otomatik Vites,Dizel,166500,7.0
Audi,A4 A4 Sedan 2.0 TDI,2014,96000,Otomatik Vites,Dizel,195000,7.0
Audi,A4 A4 Sedan 2.0 TDI,2010,257000,Otomatik Vites,Dizel,129500,7.0
Audi,A6 A6 Sedan 2.0 TDI,2011,178000,Otomatik Vites,Dizel,153500,7.0
Audi,A6 A6 Sedan 2.0 TDI,2009,246000,Otomatik Vites,Dizel,137500,7.0
Audi,A6 A6 Sedan 2.0 TDI,2010,195500,Otomatik Vites,Dizel,152000,7.0
Audi,A4 A4 Sedan 2.0 TDI,2014,122000,Otomatik Vites,Dizel,198000,7.0
Audi,A3 A3 Sedan 1.6 TDI Attraction,2016,78000,Otomatik Vites,Dizel,168500,6.0
Hyundai,I20 1.2 Team,2011,220000,Manuel Vites,Benzin,49500,5.5
Audi,A5 A5 Sportback 2.0 TDI,2010,238000,Otomatik Vites,Dizel,134500,7.0
Audi,A3 A3 Hatchback 1.4 TFSI Attraction,2010,167000,Otomatik Vites,Benzin,81500,5.5
Audi,A3 A3 Sedan 1.6 TDI Attraction,2014,125000,Otomatik Vites,Dizel,140000,6.0
Audi,A3 A3 Sedan 1.6 TDI Ambiente,2013,170000,Otomatik Vites,Dizel,156000,6.0
Audi,A3 A3 Sedan 1.6 TDI Attraction,2015,146000,Otomatik Vites,Dizel,148500,6.0
Audi,A3 A3 Sportback 1.6 TDI Attraction,2012,59000,Otomatik Vites,Dizel,147000,6.0
Audi,A4 A4 Sedan 1.6,2003,284000,Manuel Vites,Benzin,49900,6.0
Audi,A3 A3 Sedan 1.6 TDI Dynamic,2016,112500,Otomatik Vites,Dizel,180000,6.0
Audi,A4 A4 Sedan 2.0 TDI,2014,164000,Otomatik Vites,Dizel,165900,7.0
Audi,A5 Diğer,2015,126000,Otomatik Vites,Dizel,267000,7.0
Audi,A4 A4 Sedan 2.0 TDI,2011,175000,Otomatik Vites,Dizel,133000,7.0
Audi,A5 A5 Sportback 2.0 TDI,2011,237000,Otomatik Vites,Dizel,158000,7.0
Audi,A5 A5 Sportback 2.0 TDI,2011,230000,Otomatik Vites,Dizel,168000,7.0
Audi,A3 A3 Sportback 1.6 TDI Dynamic,2019,20000,Otomatik Vites,Dizel,217500,6.0
Audi,A4 A4 Avant 3.0 Quattro,2004,276000,Otomatik Vites,Benzin,87500,8.0
Audi,A3 A3 Sportback 1.0 TFSI Dynamic,2016,109000,Otomatik Vites,Benzin,157500,5.5
Audi,A3 A3 Sportback 1.6 TDI Attraction,2016,92000,Otomatik Vites,Dizel,164950,6.0
Audi,A3 A3 Sedan 1.6 TDI Sport Line,2016,18000,Otomatik Vites,Dizel,217900,6.0
Audi,A3 A3 Sportback 1.6 TDI Sport Line,2016,48000,Otomatik Vites,Dizel,212500,6.0
Renault,Fluence 1.5 dCi Touch,2014,124000,Otomatik Vites,Dizel,105500,6.0
Audi,Q5 2.0 TDI Quattro,2017,28000,Otomatik Vites,Dizel,567500,7.0
Audi,Q7 3.0 TDI Quattro,2015,115000,Otomatik Vites,Dizel,659750,8.0
Audi,A4 A4 Sedan 1.6,1999,300000,Manuel Vites,Benzin,38750,6.0
Audi,A3 A3 Sportback 1.6 TDI Attraction,2012,208000,Otomatik Vites,Dizel,108900,6.0
Audi,A3 A3 Sportback 1.6 TDI Attraction,2015,137000,Otomatik Vites,Dizel,157750,6.0
Audi,A3 A3 Sedan 1.6 TDI Ambiente,2013,127000,Otomatik Vites,Dizel,135500,6.0
Audi,A4 A4 allroad quattro 2.0 TDI,2016,99000,Otomatik Vites,Dizel,389000,7.0
Audi,A4 A4 Sedan 2.0 TDI Dynamic,2016,44750,Otomatik Vites,Dizel,285000,7.0
Audi,Q8 Diğer,2020,0,Otomatik Vites,Dizel,1640000,8.0
Audi,A3 A3 Sedan 1.6 TDI Ambiente,2016,96000,Otomatik Vites,Dizel,186000,6.0
Audi,A5 A5 Sportback 2.0 TDI Quattro,2014,95000,Otomatik Vites,Dizel,305000,7.0
Audi,A3 A3 Sportback 1.6 TDI Sport Line,2016,50000,Otomatik Vites,Dizel,190000,5.5
Audi,A3 A3 Sportback 1.5 TFSI Dynamic,2020,0,Otomatik Vites,Benzin,246500,6.0
Audi,A4 Diğer,2010,149000,Otomatik Vites,Benzin,112500,7.0
Audi,A3 A3 Sportback 1.5 TFSI Dynamic,2020,0,Otomatik Vites,Benzin,246500,6.0
Audi,A4 A4 Sedan 2.0 TDI,2015,105000,Otomatik Vites,Dizel,222000,7.0
Audi,A4 A4 Sedan 2.0 TDI,2013,108000,Otomatik Vites,Dizel,215000,7.0
Audi,A4 A4 Sedan 2.0 TDI,2015,99000,Otomatik Vites,Dizel,250000,7.0
Jeep,Wrangler 2.8 CRD,2014,54000,Otomatik Vites,Dizel,457500,8.0
Audi,A3 A3 Sportback 1.6 Attraction,2010,249000,Otomatik Vites,Benzin,104750,6.0
Audi,Q7 3.0 TDI Quattro,2008,201000,Otomatik Vites,Dizel,184750,8.0
Audi,A5 A5 Sportback 2.0 TDI,2014,137000,Otomatik Vites,Dizel,243500,7.0
Audi,A4 Diğer,2003,340000,Otomatik Vites,Benzin,62500,8.0
Audi,A3 A3 Sedan 1.6 TDI Ambition,2013,150000,Otomatik Vites,Dizel,144000,6.0
Audi,A4 A4 Sedan 2.0 TDI Quattro Dynamic,2016,98000,Otomatik Vites,Dizel,268500,7.0
